2D Materials	2D Mater.
Engineering Costs and Production Economics	Eng. Costs Prod. Econ.
Engineering Economist	Eng. Econ.
Engineering Failure Analysis	Eng. Fail. Anal.
Engineering Fracture Mechanics	Eng. Fract. Mech.
Engineering Geology	Eng. Geol.
"Engineering in Agriculture, Environment and Food"	Eng. Agric. Environ. Food
Engineering in Life Sciences	Eng. Life Sci.
Engineering Journal American Institute of Steel Construction	Eng. J. Am. Inst. steel Constr.
Engineering Management Journal	Eng. Manage. J.
Engineering Microbiology	Eng. Microbiol.
Engineering Optimization	Eng. Optim.
Engineering Project Organization Journal	Eng. Project Organ. J.
Engineering Reports	Eng. Rep.
Engineering Research Express	Eng. Res. Express
Engineering Science and Education Journal	Eng. Sci. Educ. J.
Engineering Science and Technology	Eng. Sci. Technol.
"Engineering Science and Technology, an International Journal"	Eng. Sci. Technol. Int. J.
Engineering Sciences	Eng. Sci.
Engineering Structures	Eng. Struct.
Engineering Structures and Technologies	Eng. Struct. Technol.
Engineering Studies	Eng. Stud.
Enterprise Information Systems	Enterp. Inf. Syst.
Entomologia Experimentalis et Applicata	Entomol. Exp. Appl.
Entomologia Generalis	Entomol. Gen.
Entomologica Americana	Entomol. Am.
Entomological News	Entomol. News
Entomological Research	Entomol. Res.
Entomological Science	Entomol. Sci.
Entomologische Zeitschrift	Entomol. Z.
Environment and Security	Environ. Secur.
Environment Carcinogenesis and Ecotoxicology Reviews	Environ. Carcinog. Ecotoxicol. Rev.
Environment International	Environ. Int.
Environment Protection Engineering	Environ. Prot. Eng.
Environment: Science and Policy for Sustainable Development	Environ.: Sci. Policy Sustainable Dev.
Environmental Advances	Environ. Adv.
Environmental and Ecological Statistics	Environ. Ecol. Stat.
Environmental and Engineering Geoscience	Environ. Eng. Geosci.
Environmental and Experimental Biology	Environ. Exp. Biol.
Environmental and Experimental Botany	Environ. Exp. Bot.
Environmental and Molecular Mutagenesis	Environ. Mol. Mutagen.
Environmental and Resource Economics	Environ. Resour. Econ.
Environmental and Sustainability Indicators	Environ. Sustainability Indic.
Environmental Archaeology	Environ. Archaeol.
Environmental Bioindicators	Environ. Bioindic.
Environmental Biology of Fishes	Environ. Biol. Fishes
Environmental Biosafety Research	Environ. Biosaf. Res.
Environmental Challenges	Environ. Challenges
Environmental Chemistry	Environ. Chem.
Environmental Chemistry and Ecotoxicology	Environ. Chem. Ecotoxicol.
Environmental Chemistry Letters	Environ. Chem. Lett.
Environmental Claims Journal	Environ. Claims J.
Environmental Communication	Environ. Commun.
Environmental Conservation	Environ. Conserv.
Environmental Control in Biology	Environ. Control. Biol.
Environmental Data Science	Environ. Data Sci.
Environmental Development	Environ. Dev.
Environmental DNA	Environ. DNA
Environmental Earth Sciences	Environ. Earth Sci.
Environmental Education Research	"Environ. Educ. Res,"
Environmental Engineering and Management Journal	Environ. Eng. Manage. J.
Environmental Engineering and Policy	Environ. Eng. Policy
Environmental Engineering Research	Environ. Eng. Res.
Environmental Engineering Science	Environ. Eng. Sci.
Environmental Entomology	Environ. Entomol.
Environmental Epigenetics	Environ. Epigenet.
Environmental Evidence	Environ. Evidence
Environmental Fluid Mechanics	Environ. Fluid Mech.
Environmental Forensics	Environ. Forensics
Environmental Geochemistry and Health	Environ. Geochem. Health
Environmental Geology	Environ. Geol.
Environmental Geosciences	Environ. Geosci.
Environmental Hazards	Environ. Hazards
Environmental Health and Preventive Medicine	Environ. Health Preventative Med.
Environmental Health Insights	Environ. Health Insights
Environmental Health Perspectives	Environ. Health Perspect.
Environmental History	Environ. Hist.
Environmental History Review	Environ. Hist. Rev.
Environmental Impact Assessment Review	Environ. Impact Assess. Rev.
Environmental Innovation and Societal Transitions	Environ. Innovation Societal Transitions
Environmental Justice	Environ. Justice
Environmental Law & Management	Environ. Law Manage.
Environmental Microbiology	Environ. Microbiol.
Environmental Microbiology Reports	Environ. Microbiol. Rep.
Environmental Microbiomes	Environ. Microbiomes
Environmental Modeling and Assessment	Environ. Model. Assess.
Environmental Modelling and Software	Environ. Modell. Software
Environmental Monitoring and Assessment	Environ. Monit. Assess.
Environmental Mutagenesis	Environ. Mutagen.
"Environmental Nanotechnology, Monitoring & Management"	Environ. Nanotechnol. Monit. Manage.
Environmental Policy and Law	Environ. Policy Law
Environmental Pollutants and Bioavailability	Environ. Pollut. Bioavailability
Environmental Pollution	Environ. Pollut.
Environmental Practice	Environ. Pract.
Environmental Progress	Environ. Prog.
Environmental Progress & Sustainable Energy	Environ. Prog. Sustainable Energy
Environmental Quality Management	Environ. Qual. Manage.
Environmental Research	Environ. Res.
Environmental Research Communications	Environ. Res. Commun.
Environmental Research Letters	Environ. Res. Lett.
Environmental Research: Climate	Environ. Res.: Clim.
Environmental Research: Ecology	Environ. Res.: Ecol.
Environmental Research: Health	Environ. Res.: Health
Environmental Research: Infrastructure and Sustainability	Environ. Res.: Infrastruct. Sustainability
Environmental Reviews	Environ. Rev.
Environmental Science & Policy	Environ. Sci. Policy
Environmental Science & Technology	Environ. Sci. Technol.
Environmental Science & Technology Letters	Environ. Sci. Technol. Lett.
Environmental Science and Ecotechnology	Environ. Sci. Ecotechnol.
Environmental Science and Pollution Research	Environ. Sci. Pollut. Res.
Environmental Science and Pollution Research International	Environ. Sci. Pollut. Res. Int.
Environmental Science and Technology	Environ. Sci. Technol.
Environmental Science and Technology Letters	Environ. Sci. Technol. Lett.
Environmental Science Nano	Environ. Sci. Nano
Environmental Science: Advances	Environ. Sci.: Adv.
Environmental Science: Atmospheres	Environ. Sci.: Atmos.
Environmental Science: Nano	Environ. Sci.: Nano
Environmental Science: Processes & Impacts	Environ. Sci. Processes Impacts
Environmental Science: Water Research & Technology	Environ. Sci. Water Res. Technol.
Environmental Sciences Europe	Environ. Sci. Eur.
Environmental Systems Research	Environ. Syst. Res.
Environmental Technology	Environ. Technol.
Environmental Technology & Innovation	Environ. Technol. Innovation
Environmental Technology Reviews	Environ. Technol. Rev.
Environmental Toxicology	Environ. Toxicol.
Environmental Toxicology and Chemistry	Environ. Toxicol. Chem.
Environmental Toxicology and Pharmacology	Environ. Toxicol. Pharmacol.
Environmental Toxicology and Water Quality	Environ. Toxicol. Water Qual.
Enzyme and Microbial Technology	Enzyme Microb. Technol.
Enzyme and Protein	Enzyme Protein
Enzyme Research	Enzyme Res.
EPE Journal	EPE J.
Epigenetics & Chromatin	Epigenet. Chromatin
Epigenetics Communications	Epigenet. Commun.
Epigenetics Insights	Epigenet. Insights
"Epitheorese Klinikes Farmakologias kai Farmakokinetikes, International Edition"	Epitheor. Klin. Farmakol. Farmakokinet. Int. Ed.
EPJ Applied Metamaterials	EPJ Appl. Metamater.
EPJ Applied Physics	EPJ Appl. Phys.
EPJ Data Science	EPJ Data Sci.
EPJ N Nuclear Sciences & Technologies	EPJ N Nucl. Sci. Technol.
EPJ Photovoltaics	EPJ Photovoltaics
EPJ Quantum Technnology	EPJ Quantum Technol.
EPJ Techniques and Instrumentation	EPJ Tech. Instrum.
EPPO Bulletin	EPPO Bull.
Equine and Comparative Exercise Physiology	Equine Comp. Exercise Physiol.
Equine Veterinary Education	Equine Vet. Educ.
Equine Veterinary Journal	Equine Vet. J.
"Erdoel & Kohle Erdgas, Petrochemie"	"Erdoel, Kohle, Erdgas, Petrochem."
"Erdoel, Erdgas, Kohle"	"Erdoel, Erdgas, Kohle"
Ergodic Theory and Dynamical Systems	Ergod. Theory Dyn. Syst.
Ergonomics in Design	Ergon. Des.
Ern?hrung - Wissenschaft und Praxis	Ernahrung Wiss. Prax.
ESA Bulletin	ESA Bull.
ESA Scientific and Technical Review	ESA Sci. Tech. Rev.
ESAIM Probability and Statistics	ESAIM Probab. Stat.
"ESAIM. Control, Optimisation and Calculus of Variations"	ESAIM. COCV
"ESAIM. Control, Optimisation and Calculus of Variations"	ESAIM. Control. Optim. Calc. Var.
ESAIM. Mathematical Modelling and Numerical Analysis	ESAIM. M2AN
ESAIM. Mathematical Modelling and Numerical Analysis	ESAIM. Math. Model. Numer. Anal.
ESAIM: Proceedings and Surveys	ESAIM: Proc. Surv.
ESMO Open	ESMO Open
Estonian Journal of Engineering	Est. J. Eng.
Estuaries and Coasts	Estuaries Coasts
"Estuarine, Coastal and Shelf Science"	Estuarine Coastal Shelf Sci.
"Ethics in Biology, Engineering and Medicine: An International Journal"	Ethics Biol. Eng. Med.: Int. J.
Ethology Ecology & Evolution	Ethol. Ecol. Evol.
Eurasian Chemico-Technological Journal	Eurasian Chem. Technol. J.
Eurasian Journal of Analytical Chemistry	Eurasian J. Anal. Chem.
"EURASIP Journal on Audio, Speech, and Music Processing"	EURASIP J. Audio Speech Music Process.
EURASIP Journal on Bioinformatics & Systems Biology	EURASIP J. Bioinf. Syst. Biol.
EURO Journal on Transportation and Logistics	EURO J. Transp. Logist.
Euro-Mediterranean Journal for Environmental Integration	Euro-Mediterr. J. Environ. Integr.
European Addiction Research	Eur. Addict. Res.
European Biophysics Journal	Eur. Biophys. J.
European Food Research and Technology	Eur. Food Res. Technol.
European Journal for Sport and Society	Eur. J. Sport Soc.
European Journal of Agronomy	Eur. J. Agron.
European Journal of Applied Mathematics	Eur. J. Appl. Math.
European Journal of Applied Microbiology	Eur. J. Appl. Microbiol.
European Journal of Applied Microbiology and Biotechnology	Eur. J. Appl. Microbiol. Biotechnol.
European Journal of Applied Physiology	Eur. J. Appl. Physiol.
European Journal of Archaeology	Eur. J. Archaeol.
European Journal of Biochemistry	Eur. J. Biochem.
European Journal of Cancer	Eur. J. Cancer
European Journal of Cell Biology	Eur. J. Cell Biol.
European Journal of Clinical Chemistry and Clinical Biochemistry	Eur. J. Clin. Chem. Clin. Biochem.
European Journal of Clinical Investigation	Eur. J. Clin. Invest.
European Journal of Clinical Microbiology & Infectious Diseases	Eur. J. Clin. Microbiol. Infect. Dis.
European Journal of Clinical Nutrition	Eur. J. Clin. Nutr.
European Journal of Combinatorics	Eur. J. Comb.
European Journal of Computational Mechanics	Eur. J. Comput. Mech.
European Journal of Control	Eur. J. Control
European Journal of Engineering Educatino	Eur. J. Eng. Educ.
European Journal of Engineering Education	Eur. J. Eng. Educ.
European Journal of Entomology	Eur. J. Entomol.
European Journal of Environmental and Civil Engineering	Eur. J. Environ. Civ. Eng.
European Journal of Forest Pathology	Eur. J. For. Pathol.
European Journal of Forestry Research	Eur. J. For. Res.
European Journal of Histochemistry	Eur. J. Histochem.
European Journal of Human Genetics	Eur. J. Hum. Genet.
European Journal of Immunogenetics	Eur. J. Immunogenet.
European Journal of Immunology	Eur. J. Immunol.
European Journal of Information Systems	Eur. J. Inf. Syst.
European Journal of Inorganic Chemistry	Eur. J. Inorg. Chem.
European Journal of Lipid Science and Technology	Eur. J. Lipid Sci. Technol.
European Journal of Mass Spectrometry	Eur. J. Mass Spectrom.
European Journal of Materials	Eur. J. Mater.
European Journal of Mechanics - A/Solids	Eur. J. Mech. A. Solids
European Journal of Mechanics - B/Fluids	Eur. J. Mech. B. Fluids
European Journal of Medical Genetics	Eur. J. Med. Genet.
European Journal of Medical Research	Eur. J. Med. Res.
European Journal of Medicinal Chemistry	Eur. J. Med. Chem.
European Journal of Medicinal Chemistry Reports	Eur. J. Med. Chem. Rep.
European Journal of Mineralogy	Eur. J. Mineral.
European Journal of Nanomedicine	Eur. J. Nanomed.
European Journal of Neurology	Eur. J. Neurol.
European Journal of Neuroscience	Eur. J. Neurosci.
European Journal of Nuclear Medicine and Molecular Imaging	Eur. J. Nucl. Med. Mol. Imaging
European Journal of Nutrition	Eur. J. Nutr.
European Journal of Oncology Pharmacy	Eur. J. Oncol. Pharm.
European Journal of Operational Research	Eur. J. Oper. Res.
European Journal of Organic Chemistry	Eur. J. Org. Chem.
European Journal of Pain	Eur. J. Pain
European Journal of Pharmaceutical Sciences	Eur. J. Pharm. Sci.
European Journal of Pharmaceutics and Biopharmaceutics	Eur. J. Pharm. Biopharm.
European Journal of Pharmacology	Eur. J. Pharmacol.
European Journal of Pharmacology: Environmental Toxicology and Pharmacology	Eur. J. Pharmacol. Environ. Toxicol. Pharm.
European Journal of Pharmacology: Molecular Pharmacology	Eur. J. Pharmacol. Mol. Pharmacol.
European Journal of Phycology	Eur. J. Phycol.
European Journal of Physics	Eur. J. Phys.
European Journal of Plant Pathology	Eur. J. Plant Pathol.
European Journal of Protistology	Eur. J. Protistol.
European Journal of Pure and Applied Mathematics	Eur. J. Pure Appl. Math.
European Journal of Radiology	Eur. J. Radiol.
European Journal of Remote Sensing	Eur. J. Remote Sens.
European Journal of Risk Regulation	Eur. J. Risk Regul.
European Journal of Soil Biology	Eur. J. Soil Biol.
European Journal of Soil Science	Eur. J. Soil Sci.
European Journal of Solid State and Inorganic Chemistry	Eur. J. Solid State Inorg. Chem.
European Journal of Taxonomy	Eur. J. Taxon.
European Journal of Toxicology and Environmental Hygiene	Eur. J. Toxicol. Environ. Hyg.
European Journal of Ultrasound	Eur. J. Ultrasound
European Journal of Wildlife Research	Eur. J. Wildl. Res.
European Journal of Wood and Wood Products	Eur. J. Wood Wood Prod.
European Mass Spectrometry	Eur. Mass Spectrom.
European Neuropsychopharmacology	Eur. Neuropsychopharmacol.
European Physical Journal A: Hadrons and Nuclei	Eur. Phys. J. A
European Physical Journal Applied Physics	Eur. Phys. J. Appl. Phys.
European Physical Journal B: Condensed Matter and Complex Systems	Eur. Phys. J. B
European Physical Journal C: Particles and Fields	Eur. Phys. J. C
"European Physical Journal D: Atomic, Molecular, Optical and Plasma Physics"	Eur. Phys. J. D
European Physical Journal E: Soft Matter	Eur. Phys. J. E
European Physical Journal H: Historical Perspectives on Contemporary Physics	Eur. Phys. J. H
European Physical Journal Special Topics	Eur. Phys. J. Spec. Top.
European Polymer Journal	Eur. Polym. J.
European Potato Journal	Eur. Potato J.
European Poultry Science	Eur. Poult. Sci.
European Review for Medical and Pharmacological Sciences	Eur. Rev. Med. Pharmacol. Sci.
European Review of Agricultural Economics	Eur. Rev. Agric. Econ.
European Space Agency Special Publication SP	Eur. Space Agency Spec. Publ. SP
European Transactions on Electrical Power	Eur. Trans. Electr. Power
European Transactions on Telecommunications	Eur. Trans. Telecommun.
European Transport Research Review	Eur. Transport Res. Rev.
European Urban and Regional Studies	Eur. Urban Reg. Stud.
European Zoological Journal	Eur. Zool. J.
European Zoological Journal	Eur. Zool. J.
Europhysics Letters	Europhys. Lett.
Europhysics News	Europhys. News
Evolution & Development	Evol. Dev.
Evolution Equations and Control Theory	Evol. Equations Control Theory
Evolution Letters	Evol. Lett.
"Evolutionary Anthropology: Issues, News, and Reviews"	Evol. Anthropol.: News Issues Rev.
Evolutionary Applications	Evol. Appl.
Evolutionary Bioinformatics	Evol. Bioinf.
Evolutionary Biology	Evol. Biol.
Evolutionary Computation	Evol. Comput.
Evolutionary Human Sciences	Evol. Hum. Sci.
Evolutionary Journal of the Linnean Society	Evol. J. Linn. Soc.
Evolutionary Systematics	Evol. Syst.
Experimental & Molecular Medicine	Exp. Mol. Med.
Experimental Agriculture	Exp. Agric.
Experimental and Applied Acarology	Exp. Appl. Acarol.
Experimental and Clinical Psychopharmacology	Exp. Clin. Psychopharmacol.
Experimental and Molecular Pathology	Exp. Mol. Pathol.
Experimental and Toxicologic Pathology	Exp. Toxicol. Pathol.
Experimental Animals	Exp. Anim.
Experimental Astronomy	Exp. Astron.
Experimental Biology and Medicine	Exp. Biol. Med.
Experimental Cell Research	Exp. Cell. Res.
Experimental Eye Research	Exp. Eye Res.
Experimental Heat Transfer	Exp. Heat Transfer
Experimental Hematology	Exp. Hematol.
Experimental Hematology & Oncology	Exp. Hematol. Oncol.
Experimental Mathematics	Exp. Math.
Experimental Mechanics	Exp. Mech.
Experimental Mycology	Exp. Mycol.
Experimental Neurology	Exp. Neurol.
Experimental Parasitology	Exp. Parasitol.
Experimental Pathology	Exp. Pathol.
Experimental Physiology	Exp. Physiol.
Experimental Reults	Exp. Results
Experimental Techniques	Exp. Tech.
Experimental Thermal and Fluid Science	Exp. Therm Fluid Sci.
Experimentelle Strahlentherapie und Klinische Strahlenbiologie	Exp. Strahlenther. Klin. Strahlenbiol.
Experimentelle Technik der Physik	Exp. Tech. Phys.
Experiments in Fluids	Exp. Fluids
Expert Opinion on Biological Therapy	Expert Opin. Biol. Ther.
Expert Opinion on Drug Discovery	Expert Opin. Drug Discovery
